Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId,LHP,LHH,RHP,RHH
2022,Keibert Ruiz,WSN,63,106,93,22,18,4,0,0,0,10,8,0,10,2,2,1,2,0,0,0.23655914,19610,1,0,0,1
2022,Vladimir Guerrero Jr.,TOR,63,122,110,27,19,4,0,4,4,12,12,3,12,0,0,0,10,0,0,0.24545455,19611,1,0,0,1
2022,Bo Bichette,TOR,64,118,107,28,17,5,1,5,5,16,9,0,25,1,1,0,2,0,0,0.26168224,19612,1,0,0,1
2022,Sheldon Neuse,OAK,55,109,105,19,16,2,1,0,0,6,4,0,27,0,0,0,2,0,0,0.18095238,19635,1,0,0,1
2022,Mike Brosseau,MIL,56,105,95,26,18,5,0,3,3,13,7,0,32,3,0,0,0,0,0,0.27368421,19683,1,0,0,1
2022,Abraham Toro,SEA,62,117,105,21,16,4,0,1,1,6,9,0,19,1,2,0,0,0,0,0.2,19844,1,0,0,1
2022,Luis Rengifo,LAA,76,172,165,52,33,7,1,11,11,22,5,0,18,1,0,1,2,0,0,0.31515152,19858,1,0,0,1
2022,Emmanuel Rivera,2 Tms,62,119,110,29,17,6,2,4,4,15,7,0,22,2,0,0,3,0,0,0.26363636,19890,1,0,0,1
2022,Diego Castillo,PIT,68,153,142,34,14,11,0,9,9,21,7,1,40,2,2,0,4,0,0,0.23943662,19906,1,0,0,1
2022,Cristian Pache,OAK,44,89,82,18,13,3,1,1,1,9,7,0,14,0,0,0,2,0,0,0.2195122,19948,1,0,0,1
2022,Bobby Dalbec,BOS,60,112,96,23,17,1,0,5,5,13,14,0,36,2,0,0,2,0,0,0.23958333,19966,1,0,0,1
2022,Santiago Espinal,TOR,80,128,113,34,23,8,0,3,3,15,14,1,13,0,1,0,2,0,0,0.30088496,19997,1,0,0,1
2022,Keston Hiura,MIL,54,109,96,18,10,4,1,3,3,11,9,0,49,3,1,0,3,0,0,0.1875,20003,1,0,0,1
2022,Isaac Paredes,TBR,60,105,91,21,9,5,0,7,7,14,12,0,16,1,1,0,5,0,0,0.23076923,20036,1,0,0,1
2022,Luis Robert Jr.,CHW,40,87,79,28,22,3,0,3,3,14,7,1,15,0,1,0,0,0,0,0.35443038,20043,1,0,0,1
2022,Dylan Carlson,STL,70,141,128,39,24,11,1,3,3,15,11,0,31,2,0,0,1,0,0,0.3046875,20126,1,0,0,1
2022,Jo Adell,LAA,50,109,103,21,13,5,1,2,2,9,4,0,38,1,1,0,2,0,0,0.2038835,20220,1,0,0,1
2022,Gilberto Celestino,MIN,64,121,108,23,17,5,0,1,1,11,10,0,29,2,0,1,10,0,0,0.21296296,20233,1,0,0,1
2022,Ernie Clement,2 Tms,41,83,78,15,13,2,0,0,0,2,2,0,12,2,0,1,2,0,0,0.19230769,20352,1,0,0,1
2022,William Contreras,ATL,51,116,99,35,22,7,1,5,5,15,16,0,26,0,1,0,2,0,0,0.35353535,20503,1,0,0,1
2022,Nick Madrigal,CHC,39,81,78,20,19,1,0,0,0,1,2,0,6,0,0,1,5,0,0,0.25641026,20521,1,0,0,1
2022,Jose Miranda,MIN,64,139,131,36,23,4,0,9,9,25,7,0,24,0,1,0,5,0,0,0.27480916,20538,1,0,0,1
2022,Oscar Gonzalez,CLE,56,115,109,29,20,4,0,5,5,12,4,2,27,2,0,0,1,0,0,0.26605505,20970,1,0,0,1
2022,Nico Hoerner,CHC,64,132,126,37,26,7,2,2,2,16,5,0,14,1,0,0,1,0,0,0.29365079,21479,1,0,0,1
2022,Jonathan India,CIN,53,119,104,27,20,5,1,1,1,10,10,0,23,5,0,0,2,0,0,0.25961538,21523,1,0,0,1
2022,Joey Bart,SFG,51,96,88,16,9,1,0,6,6,13,7,0,40,1,0,0,1,0,0,0.18181818,21524,1,0,0,1
2022,Cal Raleigh,SEA,59,100,85,18,7,7,1,3,3,14,13,0,30,0,2,0,1,0,0,0.21176471,21534,1,0,0,1
2022,Matt Vierling,PHI,71,135,122,36,25,8,1,2,2,13,8,0,23,1,4,0,4,0,0,0.29508197,21558,1,0,0,1
2022,Alec Bohm,PHI,80,175,159,56,34,17,2,3,3,19,13,1,27,0,3,0,4,0,0,0.35220126,21618,1,0,0,1
2022,Jeremy Pena,HOU,69,153,140,40,25,8,0,7,7,19,7,0,34,2,2,0,1,0,0,0.28571429,21636,1,0,0,1
2022,Christopher Morel,CHC,55,119,100,19,11,5,0,3,3,12,14,0,34,2,2,1,1,0,0,0.19,21897,1,0,0,1
2022,Rodolfo Castro,PIT,41,85,80,21,9,3,3,6,6,13,4,0,17,1,0,0,3,0,0,0.2625,21987,1,0,0,1
2022,Nick Allen,OAK,45,94,87,24,15,6,0,3,3,9,5,0,10,0,0,2,0,0,0,0.27586207,22277,1,0,0,1
2022,Taylor Walls,TBR,77,137,116,19,12,6,0,1,1,9,20,0,31,1,0,0,1,0,0,0.1637931,22458,1,0,0,1
2022,Alejandro Kirk,TOR,54,109,98,27,21,3,0,3,3,9,10,1,15,1,0,0,3,0,0,0.2755102,22581,1,0,0,1
2022,Geraldo Perdomo,ARI,84,146,131,31,28,3,0,0,0,6,13,0,21,0,0,2,3,0,0,0.23664122,22799,1,0,0,1
2022,Nelson Velazquez,CHC,45,82,71,14,6,2,2,4,4,9,10,0,27,1,0,0,3,0,0,0.1971831,23359,1,0,0,1
2022,Julio Rodriguez,SEA,69,135,120,33,23,3,0,7,7,18,15,1,40,0,0,0,0,0,0,0.275,23697,1,0,0,1
2022,Owen Miller,CLE,71,155,137,29,19,7,0,3,3,15,13,1,35,3,2,0,2,0,0,0.21167883,24655,1,0,0,1
2022,Bobby Witt Jr.,KCR,70,148,141,33,17,7,3,6,6,24,5,1,34,1,1,0,1,0,0,0.23404255,25764,1,0,0,1
2022,Andrew Vaughn,CHW,59,124,114,35,29,5,0,1,1,13,10,0,14,0,0,0,3,0,0,0.30701754,26197,1,0,0,1
2022,Adley Rutschman,BAL,62,115,98,17,10,6,0,1,1,5,16,0,26,0,1,0,2,0,0,0.17346939,26288,1,0,0,1
2022,Spencer Torkelson,DET,55,107,97,21,12,6,1,2,2,6,9,0,21,1,0,0,2,0,0,0.21649485,27465,1,0,0,1
2022,Ha-Seong Kim,SDP,89,188,159,43,29,10,2,2,2,18,24,0,19,2,2,1,4,0,0,0.27044025,27506,1,0,0,1
2022,Seiya Suzuki,CHC,59,120,104,28,16,6,2,4,4,11,16,3,18,0,0,0,3,0,0,0.26923077,30116,1,0,0,1
2022,David Peralta,2 Tms,132,417,374,100,57,29,3,11,11,54,34,5,94,3,6,0,6,0,0,0.26737968,2136,0,1,1,0
2022,Carlos Santana,2 Tms,123,364,314,56,29,11,0,16,16,39,49,2,73,0,1,0,5,0,0,0.17834395,2396,0,1,1,0
2022,Anthony Rizzo,NYY,122,408,345,76,40,13,1,22,22,54,44,6,79,17,2,0,10,0,0,0.22028986,3473,0,1,1,0
2022,Eric Hosmer,2 Tms,97,302,269,66,45,15,0,6,6,35,31,5,44,1,1,0,11,0,0,0.24535316,3516,0,1,1,0
2022,Michael Brantley,HOU,58,190,165,47,31,11,1,4,4,22,24,2,19,0,1,0,1,0,0,0.28484848,4106,0,1,1,0
2022,Joey Votto,CIN,86,255,224,45,23,12,1,9,9,30,27,0,56,4,0,0,5,0,0,0.20089286,4314,0,1,1,0
2022,Mike Moustakas,CIN,75,219,194,42,26,9,0,7,7,22,18,0,59,4,3,0,7,0,0,0.21649485,4892,0,1,1,0
2022,Robbie Grossman,2 Tms,120,328,289,47,33,7,1,6,6,27,31,0,93,5,3,0,1,0,0,0.16262976,5254,0,1,1,0
2022,Aaron Hicks,NYY,112,329,275,57,44,6,2,5,5,23,50,2,75,2,1,1,9,0,0,0.20727273,5297,0,1,1,0
2022,Brandon Crawford,SFG,114,340,299,68,49,11,2,6,6,36,33,3,74,4,4,0,10,0,0,0.22742475,5343,0,1,1,0
2022,Freddie Freeman,LAD,151,507,432,146,95,34,1,16,16,76,67,12,59,2,6,0,5,0,0,0.33796296,5361,0,1,1,0
2022,Ji Man Choi,TBR,111,362,305,68,39,18,0,11,11,43,55,3,104,0,2,0,3,0,0,0.22295082,5452,0,1,1,0
2022,Leury Garcia,CHW,83,249,236,51,42,6,0,3,3,19,5,0,52,3,3,2,5,0,0,0.21610169,5913,0,1,1,0
2022,Eduardo Escobar,NYM,128,368,333,77,49,15,2,11,11,38,31,3,88,0,4,0,3,0,0,0.23123123,6153,0,1,1,0
2022,Charlie Blackmon,COL,123,405,372,92,59,15,3,15,15,47,25,3,85,3,2,3,8,0,0,0.24731183,7859,0,1,1,0
2022,Tucker Barnhart,DET,91,238,218,47,37,9,0,1,1,14,19,0,57,1,0,0,5,0,0,0.21559633,10200,0,1,1,0
2022,Brandon Belt,SFG,74,216,188,42,27,7,1,7,7,16,23,2,59,4,1,0,9,0,0,0.22340426,10264,0,1,1,0
2022,Rafael Ortega,CHC,113,349,297,72,50,14,1,7,7,35,41,2,72,2,7,1,8,0,0,0.24242424,10323,0,1,1,0
2022,Cesar Hernandez,WSN,136,422,383,89,67,18,3,1,1,21,30,0,76,6,1,2,8,0,0,0.23237598,10556,0,1,1,0
2022,Corey Dickerson,STL,86,269,255,73,50,16,1,6,6,36,11,1,40,1,2,0,4,0,0,0.28627451,10762,0,1,1,0
2022,Jurickson Profar,SDP,143,461,405,96,57,26,1,12,12,39,49,0,81,3,2,2,6,0,0,0.23703704,10815,0,1,1,0
2022,Kole Calhoun,TEX,120,339,311,60,39,11,1,9,9,38,21,0,110,4,3,0,3,0,0,0.19292605,11200,0,1,1,0
2022,Yasmani Grandal,CHW,90,283,253,47,41,2,0,4,4,21,27,1,64,1,2,0,8,0,0,0.18577075,11368,0,1,1,0
2022,Christian Yelich,MIL,147,468,393,98,63,23,3,9,9,44,70,5,112,3,2,0,6,0,0,0.24936387,11477,0,1,1,0
2022,Bryce Harper,PHI,91,291,253,76,43,17,1,15,15,48,31,8,52,1,6,0,11,0,0,0.30039526,11579,0,1,1,0
2022,Joc Pederson,SFG,131,376,331,92,51,17,3,21,21,59,35,3,81,7,3,0,5,0,0,0.27794562,11899,0,1,1,0
2022,Max Kepler,MIN,107,327,285,63,44,10,1,8,8,33,36,1,52,4,2,0,3,0,0,0.22105263,12144,0,1,1,0
2022,Eddie Rosario,ATL,77,237,222,49,32,12,0,5,5,23,12,0,63,0,3,0,2,0,0,0.22072072,12155,0,1,1,0
2022,Ben Gamel,PIT,107,313,274,69,44,15,2,8,8,39,38,2,70,0,1,0,4,0,0,0.25182482,12160,0,1,1,0
2022,Rougned Odor,BAL,128,377,342,72,41,18,2,11,11,43,26,1,84,5,4,0,7,0,0,0.21052632,12282,0,1,1,0
2022,Jace Peterson,MIL,106,293,256,59,37,13,1,8,8,29,31,2,75,1,3,2,8,0,0,0.23046875,12325,0,1,1,0
